Hex,レジ番号,所属国,時刻,現在緯度,現在経度,出発予測緯度,出発予測経度,到着予測緯度,到着予測経度
341390,T.18-1,スペイン,2026-07-29 23:31:42,40.0378,-2.2982,40.4899,-3.4542,40.0378,-2.2982
3542c3,T.18-3,スペイン,2026-07-29 23:31:42,40.0106,-12.975,40.0113,-13.4361,40.0106,-12.975
354556,T.22-2,スペイン,2026-07-29 23:31:42,39.5928,2.8074,40.1772,-3.1825,39.5928,2.8074
e483ba,FAB2590,ブラジル,2026-07-29 23:31:42,-8.5688,-42.3718,-4.1178,-38.9191,-8.5688,-42.3718
c2c363,330002,カナダ,2026-07-29 23:32:47,44.6094,1.1132,50.0401,4.9762,44.6094,1.1132
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:32:47,40.9947,10.554,41.0817,19.3211,40.9947,10.554
341390,T.18-1,スペイン,2026-07-29 23:32:47,39.9826,-2.1601,40.4899,-3.4542,39.9826,-2.1601
3542c3,T.18-3,スペイン,2026-07-29 23:32:47,40.0074,-12.4222,40.0113,-13.4361,40.0074,-12.4222
354556,T.22-2,スペイン,2026-07-29 23:32:47,39.5788,2.7777,40.1772,-3.1825,39.5788,2.7777
e483ba,FAB2590,ブラジル,2026-07-29 23:32:47,-8.6676,-42.4378,-4.1178,-38.9191,-8.6676,-42.4378
c2c363,330002,カナダ,2026-07-29 23:33:50,44.4826,1.0753,50.0401,4.9762,44.4826,1.0753
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:33:50,40.9866,10.3762,41.0817,19.3211,40.9866,10.3762
341390,T.18-1,スペイン,2026-07-29 23:33:50,39.9234,-2.0207,40.4899,-3.4542,39.9234,-2.0207
3542c3,T.18-3,スペイン,2026-07-29 23:33:50,40.0026,-11.9624,40.0113,-13.4361,40.0026,-11.9624
354556,T.22-2,スペイン,2026-07-29 23:33:50,39.5788,2.7777,40.1772,-3.1825,39.5788,2.7777
e483ba,FAB2590,ブラジル,2026-07-29 23:33:50,-8.7551,-42.4964,-4.1178,-38.9191,-8.7551,-42.4964
c2c363,330002,カナダ,2026-07-29 23:34:52,44.3149,1.0255,50.0401,4.9762,44.3149,1.0255
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:34:52,40.9755,10.1442,41.0817,19.3211,40.9755,10.1442
341390,T.18-1,スペイン,2026-07-29 23:34:52,39.8445,-1.8347,40.4899,-3.4542,39.8445,-1.8347
3542c3,T.18-3,スペイン,2026-07-29 23:34:52,39.9996,-11.7255,40.0113,-13.4361,39.9996,-11.7255
354556,T.22-2,スペイン,2026-07-29 23:34:52,39.5788,2.7777,40.1772,-3.1825,39.5788,2.7777
e483ba,FAB2590,ブラジル,2026-07-29 23:34:52,-8.8966,-42.5912,-4.1178,-38.9191,-8.8966,-42.5912
c2c363,330002,カナダ,2026-07-29 23:35:54,44.2067,0.9936,50.0401,4.9762,44.2067,0.9936
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:35:54,40.9678,9.9894,41.0817,19.3211,40.9678,9.9894
341390,T.18-1,スペイン,2026-07-29 23:35:54,39.792,-1.7113,40.4899,-3.4542,39.792,-1.7113
3542c3,T.18-3,スペイン,2026-07-29 23:35:54,39.9974,-11.5763,40.0113,-13.4361,39.9974,-11.5763
354556,T.22-2,スペイン,2026-07-29 23:35:54,39.5788,2.7777,40.1772,-3.1825,39.5788,2.7777
e483ba,FAB2590,ブラジル,2026-07-29 23:35:54,-8.9812,-42.6479,-4.1178,-38.9191,-8.9812,-42.6479
800c01,K7066,インド,2026-07-31 01:16:05,Sonari Airport (IXW / VEJS),23.0921,86.5033
885332,HS-TYR,タイ王国,2026-07-31 04:46:24,Don Mueang International Airport (DMK / VTBD),14.0609,100.473
7cfa93,A62-001,オーストラリア,2026-07-31 04:46:24,Southwest Oregon Regional Airport (OTH / KOTH),42.9118,-127.6254
800c01,K7066,インド,2026-07-31 04:46:24,Rourkela Airport (RRK / VERK),21.2773,84.1601
506f24,L1-01,スロベニア,2026-07-31 07:38:40,Ljubljana Jože Pučnik Airport (LJU / LJLJ),46.1105,14.6681
8a0855,PK-PJJ,インドネシア,2026-07-31 07:38:40,Halim Perdanakusuma International Airport (HLP / WIHH),-6.3382,106.7627
48d981,0112,ポーランド,2026-07-31 07:38:40,Solidarity Szczecin–Goleniów Airport (SZZ / EPSC),53.5291,15.1889
48d960,0001,ポーランド,2026-07-31 07:38:40,Leźnica Wielka Air Base (--- / EPLY),52.354,19.0225
4b7f43,T-752,スイス,2026-07-31 07:38:40,Verona Villafranca Valerio Catullo Airport (VRN / LIPX),45.6253,10.9959
33fff9,MM62174,イタリア,2026-07-31 07:38:40,"Florence Airport, Peretola (FLR / LIRQ)",43.6899,11.7085
407a3f,G-GBNI,イギリス,2026-07-31 10:14:22,Federico Fellini International Airport (RMI / LIPR),44.284,13.0384
506f24,L1-01,スロベニア,2026-07-31 10:14:22,Annemasse Airfield (--- / LFLI),46.4127,6.3672
3542c5,T.18-5,スペイン,2026-07-31 10:14:22,Madrid–Torrejón Airport / Torrejón Air Base (TOJ / LETO),40.5195,-3.4176
48d981,0112,ポーランド,2026-07-31 10:14:22,Inowroclaw Military Air Base (--- / EPIR),52.653,19.0489
48d960,0001,ポーランド,2026-07-31 10:14:22,Warsaw Modlin Airport (WMI / EPMO),52.3621,20.7682
477ff4,604,ハンガリー,2026-07-31 10:14:22,Sir Bani Yas Airport (XSB / OMBY),24.0527,51.4525
70c0ba,A4O-AJ,オマーン,2026-07-31 10:14:22,Kuçovë Air Base (--- / LAKV),40.2444,19.9741
4682a6,678,ギリシャ,2026-07-31 10:14:22,Elefsis Air Base (--- / LGEL),37.8553,23.6506
341390,T.18-1,スペイン,2026-07-31 12:20:09,Málaga-Costa del Sol Airport (AGP / LEMG),36.7607,-4.154
354556,T.22-2,スペイン,2026-07-31 12:20:09,Fuerteventura Airport (FUE / GCFV),28.2836,-14.5731
70c0ba,A4O-AJ,オマーン,2026-07-31 12:20:09,Beauvechain Air Base (--- / EBBE),50.7088,5.0248
4b7f43,T-752,スイス,2026-07-31 12:20:09,Dübendorf Air Base (--- / LSMD),47.3518,8.8612
800c01,K7066,インド,2026-07-31 12:20:09,Jaipur International Airport (JAI / VIJP),26.0471,76.8593
407a3f,G-GBNI,イギリス,2026-07-31 14:42:49,Chambéry Aix les Bains airport (CMF / LFLB),45.6916,5.5219
477ff4,604,ハンガリー,2026-07-31 14:42:49,Sofia Airport (SOF / LBSF),42.9477,23.542
354556,T.22-2,スペイン,2026-07-31 16:25:01,Portimão Airport (PRM / LPPM),35.2557,-9.5936
407a3f,G-GBNI,イギリス,2026-07-31 18:01:33,London Gatwick Airport (LGW / EGKK),51.1567,-0.1686
e483bb,FAB2591,ブラジル,2026-07-31 18:01:33,Minaçu Airport (MQH / SBMC),-13.3149,-45.8253
407a3f,G-GBNI,イギリス,2026-07-31 19:46:48,Ljubljana Jože Pučnik Airport (LJU / LJLJ),46.1943,14.388
c87f00,NZ7571,ニュージーランド,2026-07-31 19:46:48,Kalaeloa Airport (JRF / PHJR),20.6118,-159.2651
407a3f,G-GBNI,イギリス,2026-07-31 20:46:56,Kozani National Airport Filippos (KZI / LGKZ),40.2573,21.8718
0ac3a8,FAC0001,コロンビア,2026-07-31 20:46:56,Ernesto Cortissoz International Airport (BAQ / SKBQ),10.2318,-74.6554
7cfa93,A62-001,オーストラリア,2026-07-31 20:46:56,Ballina Byron Gateway Airport (BNK / YBNA),-29.7202,157.3374
e483ba,FAB2590,ブラジル,2026-07-31 20:46:56,Senador Nilo Coelho Airport (PNZ / SBPL),-8.9442,-42.4591
7cfa93,A62-001,オーストラリア,2026-07-31 21:51:00,Sydney Kingsford Smith International Airport (SYD / YSSY),-33.9679,151.4147
c87f01,NZ7572,ニュージーランド,2026-07-31 22:45:54,Nelson Airport (NSN / NZNS),-41.289,173.2208
407a3f,G-GBNI,イギリス,2026-07-31 23:46:04,Ioannina King Pyrrhus National Airport (IOA / LGIO),40.1423,20.5237
407a3f,G-GBNI,イギリス,2026-08-01 01:18:37,EuroAirport Basel–Mulhouse–Freiburg (BSL / LFSB),47.509,7.9123
e483ba,FAB2590,ブラジル,2026-08-01 04:42:28,Bom Jesus da Lapa Airport (LAZ / SBLP),-10.3218,-43.9967
407a3f,G-GBNI,イギリス,2026-08-01 07:16:07,Lydd London Ashford Airport (LYX / EGMD),51.1887,0.7965
0200cc,CN-MVI,モロッコ,2026-08-01 07:16:07,Menorca Airport (MAH / LEMH),39.5548,4.5076
800c01,K7066,インド,2026-08-01 07:16:07,Noida International Airport (DXN / IN-0392),28.3757,77.884
407a3f,G-GBNI,イギリス,2026-08-01 09:25:03,Ohrid St. Paul the Apostle Airport (OHD / LWOH),41.3782,21.4189
0200cc,CN-MVI,モロッコ,2026-08-01 09:25:03,Mykonos Island National Airport (JMK / LGMK),36.9127,25.2845
800c01,K7066,インド,2026-08-01 09:25:03,Agra Airport / Agra Air Force Station (AGR / VIAG),27.2184,77.2318
505c09,OM-BYK,スロバキア,2026-08-01 10:57:19,Piešťany Airport (PZY / LZPP),48.3632,17.5844
600806,4K-AI06,アゼルバイジャン,2026-08-01 10:57:19,Bologna Guglielmo Marconi Airport (BLQ / LIPE),44.7854,11.2095
341391,T.18-2,スペイン,2026-08-01 10:57:19,Mohammed V International Airport (CMN / GMMN),33.8941,-9.3153
600be9,4K-AI001,アゼルバイジャン,2026-08-01 10:57:19,Zaqatala International Airport (ZTU / UBBY),41.2738,46.8619
70c0ba,A4O-AJ,オマーン,2026-08-01 10:57:19,Stuttgart Airport (STR / EDDS),48.354,8.8431
407a3f,G-GBNI,イギリス,2026-08-01 12:02:28,Kukës International Airport (KFZ / LAKU),41.9989,19.9218
0200cc,CN-MVI,モロッコ,2026-08-01 12:02:28,Lecce Galatina Air Base / Galatina Fortunato Cesari Airport (LCC / LIBN),40.1889,18.7379
341391,T.18-2,スペイン,2026-08-01 12:02:28,César Manrique-Lanzarote Airport (ACE / GCRR),28.7729,-13.6891
600be9,4K-AI001,アゼルバイジャン,2026-08-01 12:02:28,Ordu–Giresun Airport (OGU / LTCB),41.3208,37.9439
e483ba,FAB2590,ブラジル,2026-08-01 12:02:28,Bom Jesus da Lapa Airport (LAZ / SBLP),-14.3126,-44.308
70c0ba,A4O-AJ,オマーン,2026-08-01 12:02:28,Amendola Air Base (--- / LIBA),41.6675,16.1554
407a3f,G-GBNI,イギリス,2026-08-01 13:46:49,Saint-Dizier – Robinson Air Base (--- / LFSI),48.6504,4.7317
c2c363,330002,カナダ,2026-08-01 13:46:49,CFB Trenton (YTR / CYTR),44.7379,-77.5226
0200cc,CN-MVI,モロッコ,2026-08-01 13:46:49,Dijon Longvic airport (DIJ / LFSD),47.6154,4.7221
600be9,4K-AI001,アゼルバイジャン,2026-08-01 13:46:49,Brindisi Airport (BDS / LIBR),40.8827,18.1861
70c0ba,A4O-AJ,オマーン,2026-08-01 13:46:49,Mersa Matruh International Airport (MUH / HEMM),33.0495,28.0521
407a3f,G-GBNI,イギリス,2026-08-01 14:48:24,London Gatwick Airport (LGW / EGKK),50.9878,0.0377
c2c363,330002,カナダ,2026-08-01 14:48:24,South Bend International Airport (SBN / KSBN),42.1196,-86.3432
341391,T.18-2,スペイン,2026-08-01 14:48:24,Seville Airport (SVQ / LEZL),37.8961,-6.4272
c2c363,330002,カナダ,2026-08-01 15:46:01,Rosecrans Memorial Airport (STJ / KSTJ),40.2574,-95.8168
600be9,4K-AI001,アゼルバイジャン,2026-08-01 15:46:01,Olbia Costa Smeralda Airport (OLB / LIEO),40.9,9.5152
70c0ba,A4O-AJ,オマーン,2026-08-01 15:46:01,Bani Sweif Air Base (--- / HEBS),28.8815,32.3857
4b7f4c,T-785,スイス,2026-08-01 15:46:01,Engadin Airport (SMV / LSZS),46.7418,10.3959
407a3f,G-GBNI,イギリス,2026-08-01 16:40:43,London Gatwick Airport (LGW / EGKK),51.1543,-0.1719
c2c363,330002,カナダ,2026-08-01 16:40:43,City of Colorado Springs Municipal Airport (COS / KCOS),38.9651,-104.2411
600be9,4K-AI001,アゼルバイジャン,2026-08-01 16:40:43,Brač Airport (BWK / LDSB),42.902,16.8192
407a3f,G-GBNI,イギリス,2026-08-01 17:42:39,Ramstein Air Base (RMS / ETAR),49.2117,7.5606
71be43,21001,韓国,2026-08-01 17:42:39,Ezeiza International Airport - Ministro Pistarini (EZE / SAEZ),-34.9166,-58.2979
407a3f,G-GBNI,イギリス,2026-08-01 18:41:57,Zadar Airport (ZAD / LDZD),43.8438,15.7265
c2c363,330002,カナダ,2026-08-01 18:41:57,Southeast Colorado Regional Airport (LAA / KLAA),38.9848,-102.9462
c2c363,330002,カナダ,2026-08-01 19:55:56,Quad City International Airport (MLI / KMLI),41.533,-90.8865
71be43,21001,韓国,2026-08-01 19:55:56,Major Brigadeiro Trompowsky Airport (VAG / SBVG),-21.375,-45.0425
0ac3a8,FAC0001,コロンビア,2026-08-01 20:49:27,Rafael Nuñez International Airport (CTG / SKCG),10.4411,-75.5129
c2c363,330002,カナダ,2026-08-01 20:49:27,London International Airport (YXU / CYXU),43.0745,-81.0736
4b7f4c,T-785,スイス,2026-08-01 20:49:27,Lugano Airport (LUG / LSZA),45.936,8.8772
407a3f,G-GBNI,イギリス,2026-08-01 21:40:18,Split Saint Jerome Airport (SPU / LDSP),43.2138,15.3563
c87f00,NZ7571,ニュージーランド,2026-08-01 21:40:18,New Plymouth Airport (NPL / NZNP),-39.0458,174.1841
4b7f4c,T-785,スイス,2026-08-01 21:40:18,Grenchen Airfield (--- / LSZG),47.0346,7.2873
407a3f,G-GBNI,イギリス,2026-08-01 22:38:27,Lahr Airport (LHA / EDTL),48.4292,8.13
0ac3a8,FAC0001,コロンビア,2026-08-01 22:38:27,Rafael Nuñez International Airport (CTG / SKCG),10.445,-75.514
407a3f,G-GBNI,イギリス,2026-08-01 23:38:48,London Gatwick Airport (LGW / EGKK),51.1646,-0.0705
0ac3a8,FAC0001,コロンビア,2026-08-01 23:38:48,Rafael Nuñez International Airport (CTG / SKCG),10.445,-75.514
c87f00,NZ7571,ニュージーランド,2026-08-01 23:38:48,Woodbourne Airport (BHE / NZWB),-41.8982,173.3442
0ac3a8,FAC0001,コロンビア,2026-08-02 01:14:09,Juan H White Airport (CAQ / SKCU),8.1045,-75.1465
8a0855,PK-PJJ,インドネシア,2026-08-02 01:14:09,Halim Perdanakusuma International Airport (HLP / WIHH),-6.3379,106.7627
71be43,21001,韓国,2026-08-02 04:42:18,Seve Ballesteros-Santander Airport (SDR / LEXJ),43.8843,-4.3353
354556,T.22-2,スペイン,2026-08-02 07:18:55,Madrid–Torrejón Airport / Torrejón Air Base (TOJ / LETO),40.3304,-3.2422
800c01,K7066,インド,2026-08-02 07:18:55,Biju Patnaik International Airport (BBI / VEBS),19.9273,84.7482
600806,4K-AI06,アゼルバイジャン,2026-08-02 09:26:39,Istres-Le Tubé Air Base (--- / LFMI),42.7216,4.6032
70c0ba,A4O-AJ,オマーン,2026-08-02 09:26:39,Athens Eleftherios Venizelos International Airport (ATH / LGAV),37.1968,23.7001
4b7f4c,T-785,スイス,2026-08-02 09:26:39,Bern Airport (BRN / LSZB),46.9072,7.5056
4c4a21,YU-SRB,セルビア,2026-08-02 09:26:39,"Kos International Airport ""Ippokratis"" (KGS / LGKO)",36.597,26.4982
800c01,K7066,インド,2026-08-02 09:26:39,Biju Patnaik International Airport (BBI / VEBS),20.6409,84.936
407a3f,G-GBNI,イギリス,2026-08-02 10:59:01,Toulouse-Blagnac Airport (TLS / LFBO),43.6765,1.7576
600806,4K-AI06,アゼルバイジャン,2026-08-02 10:59:01,Málaga-Costa del Sol Airport (AGP / LEMG),36.7328,-4.6071
70c0ba,A4O-AJ,オマーン,2026-08-02 10:59:01,Venice Marco Polo Airport (VCE / LIPZ),45.4323,12.4275
4b7f4c,T-785,スイス,2026-08-02 10:59:01,Warsaw Chopin Airport (WAW / EPWA),52.1554,20.9763
70c0ba,A4O-AJ,オマーン,2026-08-02 12:08:04,Ostend-Bruges International Airport (OST / EBOS),51.2879,3.5043
4b7f4c,T-785,スイス,2026-08-02 12:08:04,Łask Air Base (--- / EPLK),51.6912,18.3345
407a3f,G-GBNI,イギリス,2026-08-02 13:51:05,Aérodrome de Saint-Girons - Antichan (--- / LFCG),42.8885,0.9058
0200cc,CN-MVI,モロッコ,2026-08-02 13:51:05,Marche Airport (AOI / LIPY),43.6632,12.8684
600806,4K-AI06,アゼルバイジャン,2026-08-02 13:51:05,Alcantarilla Air Base (--- / LERI),38.1092,-1.0098
e483ba,FAB2590,ブラジル,2026-08-02 13:51:05,Viracopos International Airport (VCP / SBKP),-22.7339,-46.9585
407a3f,G-GBNI,イギリス,2026-08-02 14:52:30,Brighton City Airport (ESH / EGKA),50.6956,-0.7792
0200cc,CN-MVI,モロッコ,2026-08-02 14:52:30,Kozani National Airport Filippos (KZI / LGKZ),39.961,21.548
600806,4K-AI06,アゼルバイジャン,2026-08-02 14:52:30,Alghero-Fertilia Airport (AHO / LIEA),40.774,8.7523
71be43,21001,韓国,2026-08-02 15:51:41,Bayreuth Airport (BYU / EDQD),49.8974,11.3995
0200cc,CN-MVI,モロッコ,2026-08-02 16:41:26,Thessaloniki Macedonia International Airport (SKG / LGTS),40.4609,22.6845
600806,4K-AI06,アゼルバイジャン,2026-08-02 16:41:26,Federico Fellini International Airport (RMI / LIPR),44.0891,13.1331
71be43,21001,韓国,2026-08-02 16:41:26,Arad International Airport (ARW / LRAR),46.5301,20.6391
407a3f,G-GBNI,イギリス,2026-08-02 17:45:07,Stuttgart Airport (STR / EDDS),48.409,8.7871
0200cc,CN-MVI,モロッコ,2026-08-02 17:45:07,Falcone–Borsellino Airport (PMO / LICJ),39.3925,13.1245
600806,4K-AI06,アゼルバイジャン,2026-08-02 17:45:07,Václav Havel Airport Prague (PRG / LKPR),50.099,14.2687
e483bb,FAB2591,ブラジル,2026-08-02 17:45:07,Congonhas–Deputado Freitas Nobre Airport (CGH / SBSP),-23.6239,-46.6584
71be43,21001,韓国,2026-08-02 17:45:07,Cengiz Topel Airport (KCO / LTBQ),41.7069,30.5561
407a3f,G-GBNI,イギリス,2026-08-02 18:44:07,Brač Airport (BWK / LDSB),43.1587,16.9162
0200cc,CN-MVI,モロッコ,2026-08-02 18:44:07,Menorca Airport (MAH / LEMH),39.224,3.8496
71be43,21001,韓国,2026-08-02 18:44:07,Alexander Kartveli Batumi International Airport (BUS / UGSB),41.3493,42.3417
0200cc,CN-MVI,モロッコ,2026-08-02 19:57:50,Sania Ramel Airport (TTU / GMTN),35.6187,-5.2536
0d088c,3910,メキシコ,2026-08-02 19:57:50,Mexico City Benito Juárez International Airport (MEX / MMMX),19.4289,-99.0825
e483ba,FAB2590,ブラジル,2026-08-02 19:57:50,Leite Lopes Airport (RAO / SBRP),-20.528,-47.8594
800c01,K7066,インド,2026-08-02 19:57:50,Maa Mahamaya Airport (AHA / IN-0393),23.7554,84.1283
407a3f,G-GBNI,イギリス,2026-08-02 20:58:52,Lecce Galatina Air Base / Galatina Fortunato Cesari Airport (LCC / LIBN),40.3191,19.0023
407a3f,G-GBNI,イギリス,2026-08-02 22:00:29,Bolzano Airport (BZO / LIPB),46.4092,11.927
407a3f,G-GBNI,イギリス,2026-08-02 23:02:33,Ostend-Bruges International Airport (OST / EBOS),51.4837,2.7322
8a0855,PK-PJJ,インドネシア,2026-08-03 00:07:15,Kertajati International Airport (KJT / WICA),-6.6506,108.0973
4682a6,678,ギリシャ,2026-08-03 06:48:57,Thessaloniki Macedonia International Airport (SKG / LGTS),40.4148,23.026
407a3f,G-GBNI,イギリス,2026-08-03 10:29:58,Aosta Corrado Gex Airport (AOT / LIMW),45.831,7.0047
3542c5,T.18-5,スペイン,2026-08-03 10:29:58,Madrid–Torrejón Airport / Torrejón Air Base (TOJ / LETO),41.2734,-3.1611
48d960,0001,ポーランド,2026-08-03 10:29:58,Budapest Liszt Ferenc International Airport (BUD / LHBP),47.4399,19.2263
04c030,KAF308,ケニア,2026-08-03 10:29:58,Westerland Sylt Airport (GWT / EDXW),54.6836,6.0598
4bd2b2,TC-TUR,トルコ,2026-08-03 10:29:58,Çukurhisar Airport (--- / TR-0021),40.4329,31.182
600806,4K-AI06,アゼルバイジャン,2026-08-03 13:26:15,Salzburg Airport (SZG / LOWS),47.6728,13.6847
48d981,0112,ポーランド,2026-08-03 13:26:15,Malbork Królewo Air Base (--- / EPMB),53.9723,18.577
407a3f,G-GBNI,イギリス,2026-08-03 16:02:17,Novi Ligure Eugenio Mossi Airfield (--- / LIMR),44.9482,9.2182
600806,4K-AI06,アゼルバイジャン,2026-08-03 16:02:17,Olbia Costa Smeralda Airport (OLB / LIEO),41.0479,9.811
3542c5,T.18-5,スペイン,2026-08-03 16:02:17,Madrid–Torrejón Airport / Torrejón Air Base (TOJ / LETO),40.5246,-3.4116
33fff9,MM62174,イタリア,2026-08-03 16:02:17,Federico Fellini International Airport (RMI / LIPR),43.7226,12.7298
600806,4K-AI06,アゼルバイジャン,2026-08-03 18:00:37,Zonguldak Çaycuma Airport (ONQ / LTAS),42.642,31.5126
407a3f,G-GBNI,イギリス,2026-08-03 20:48:15,Salerno Costa d'Amalfi Airport (QSR / LIRI),39.5786,14.6024
407a3f,G-GBNI,イギリス,2026-08-03 21:53:24,Innsbruck Airport (INN / LOWI),47.2212,10.6151
407a3f,G-GBNI,イギリス,2026-08-03 22:52:40,Calais Marck Airport (CQF / LFAC),51.4923,1.7656
43c6f5,ZZ336,イギリス,2026-08-03 23:59:02,RAAF Base Amberley (--- / YAMB),-27.5045,152.2824
800c01,K7066,インド,2026-08-04 03:18:42,Kushinagar International Airport (KBK / VEKI),25.8954,84.0974
498422,2801,チェコ,2026-08-04 06:07:45,Čáslav Air Base (--- / LKCV),49.6931,15.2622
4680d1,9A-CRO,クロアチア,2026-08-04 06:07:45,Kozani National Airport Filippos (KZI / LGKZ),40.1151,22.0021
800c01,K7066,インド,2026-08-04 06:07:45,Noida International Airport (DXN / IN-0392),27.9234,78.0822
43c6f5,ZZ336,イギリス,2026-08-04 08:52:06,RAAF Base Amberley (--- / YAMB),-27.5247,152.663
43c6f9,ZZ336,イギリス,2026-08-04 08:52:06,Norwich Airport (NWI / EGSH),53.4085,1.7928
800c01,K7066,インド,2026-08-04 08:52:06,Safdarjung Airport (--- / VIDD),28.5676,77.217
800585,K7066,インド,2026-08-04 11:13:06,Mysore Airport (MYQ / VOMY),12.9408,75.9898
70c0ba,A4O-AJ,オマーン,2026-08-04 11:13:06,Spangdahlem Air Base (SPM / ETAD),50.2725,6.4508
70c0b7,A4O-HMS,オマーン,2026-08-04 11:13:06,Istrana Air Base (--- / LIPS),46.0641,11.7786
43c6f9,ZZ336,イギリス,2026-08-04 11:13:06,Glasgow Prestwick Airport (PIK / EGPK),55.1743,-4.6088
800c01,K7066,インド,2026-08-04 11:13:06,Kota Airport (KTU / VIKO),24.5529,76.9439
800585,K7066,インド,2026-08-04 13:11:48,Agra Airport / Agra Air Force Station (AGR / VIAG),26.5829,77.2212
70c0ba,A4O-AJ,オマーン,2026-08-04 13:11:48,Corfu Ioannis Kapodistrias International Airport (CFU / LGKR),39.0675,19.4017
70c0b7,A4O-HMS,オマーン,2026-08-04 13:11:48,Sitia Airport (JSH / LGST),34.5372,26.515
354556,T.22-2,スペイン,2026-08-04 15:35:36,Armilla Air Base (--- / LEGA),36.491,-3.5674
800c01,K7066,インド,2026-08-04 15:35:36,Kota Airport (KTU / VIKO),25.6734,75.4038
354556,T.22-2,スペイン,2026-08-04 17:16:31,Seville Airport (SVQ / LEZL),37.5753,-5.3907
8953e3,V8-BKH,ブルネイ,2026-08-04 17:16:31,Kamphaeng Saen Airport (KDT / VTBK),14.5944,99.2161
c2c363,330002,カナダ,2026-08-04 18:57:27,John C. Munro Hamilton International Airport (YHM / CYHM),43.1676,-80.0176
48d960,0001,ポーランド,2026-08-04 18:57:27,Rzeszów-Jasionka Airport (RZE / EPRZ),50.1115,22.0259
762af3,J-755,パキスタン,2026-08-04 18:57:27,Sir Bani Yas Airport (XSB / OMBY),22.5127,50.765
70c0ba,A4O-AJ,オマーン,2026-08-04 18:57:27,Prince Sultan Air Base (AKH / OEPS),23.2255,49.4698
8953e3,V8-BKH,ブルネイ,2026-08-04 18:57:27,Sonari Airport (IXW / VEJS),22.2891,87.1117
020125,CN-MSM,モロッコ,2026-08-04 20:26:46,Bassatine Airport (MEK / GMFM),33.9329,-5.2548
48d960,0001,ポーランド,2026-08-04 20:26:46,Nuremberg Airport (NUE / EDDN),49.4972,11.0741
c87f00,NZ7571,ニュージーランド,2026-08-04 20:26:46,Kalaeloa Airport (JRF / PHJR),19.2102,-159.3885
8953e3,V8-BKH,ブルネイ,2026-08-04 20:26:46,Maharaja Agrasen International Airport (HSS / VIHR),28.3973,75.3011
48d960,0001,ポーランド,2026-08-04 21:49:17,Warsaw Chopin Airport (WAW / EPWA),52.0033,21.1067
477ff6,606,ハンガリー,2026-08-04 21:49:17,Halifax / Stanfield International Airport (YHZ / CYHZ),45.2003,-62.625
8953e3,V8-BKH,ブルネイ,2026-08-04 23:47:25,Kyurdamir Air Base (--- / UB14),40.1553,48.6182
7cf9d6,A39-007,オーストラリア,2026-08-05 01:09:49,RAAF Base Edinburgh (--- / YPED),-34.6804,138.6203
8953e3,V8-BKH,ブルネイ,2026-08-05 01:09:49,Trabzon International Airport (TZX / LTCG),41.04,39.3255
7cf9d6,A39-007,オーストラリア,2026-08-05 04:28:45,RAAF Base Richmond (XRH / YSRI),-33.6215,150.9804
477ff6,606,ハンガリー,2026-08-05 04:28:45,Győr-Pér Airport (--- / LHPR),47.7094,17.4414
800c01,K7066,インド,2026-08-05 04:28:45,Agartala - Maharaja Bir Bikram Airport (IXA / VEAT),23.3421,91.02
33fff9,MM62174,イタリア,2026-08-05 07:16:58,Grosseto Corrado Baccarini Air Base / Grosseto Airport (GRS / LIRS),42.4671,10.7816
800c01,K7066,インド,2026-08-05 07:16:58,Netaji Subhash Chandra Bose International Airport (CCU / VECC),23.0985,88.501
7cfa93,A62-001,オーストラリア,2026-08-05 10:00:20,Canberra Airport (CBR / YSCB),-35.5317,149.3401
600806,4K-AI06,アゼルバイジャン,2026-08-05 10:00:20,Keşan Air Base (--- / TR-0028),40.9312,27.196
894082,A9C-HMH,バーレーン,2026-08-05 10:00:20,Sheik Isa Air Base (--- / OBBS),26.0848,50.6826
48d981,0112,ポーランド,2026-08-05 10:00:20,Minsk Mazowiecki Military Air Base (--- / EPMM),52.67,21.4749
48d980,0110,ポーランド,2026-08-05 10:00:20,Gdańsk Lech Wałęsa Airport (GDN / EPGD),54.3469,18.5893
48d960,0001,ポーランド,2026-08-05 10:00:20,Minsk Mazowiecki Military Air Base (--- / EPMM),52.6229,21.4718
33fff9,MM62174,イタリア,2026-08-05 10:00:20,Marche Airport (AOI / LIPY),43.8561,13.2857
800c01,K7066,インド,2026-08-05 10:00:20,Shah Makhdum Airport (RJH / VGRJ),23.8329,88.2381
48d980,0110,ポーランド,2026-08-05 12:06:25,Rzeszów-Jasionka Airport (RZE / EPRZ),50.5875,21.6503
800c01,K7066,インド,2026-08-05 12:06:25,Netaji Subhash Chandra Bose International Airport (CCU / VECC),22.0334,87.8547
800c3d,K7067,インド,2026-08-05 12:06:25,Gwalior Airport (GWL / VIGR),26.0721,77.4152
c2c363,330002,カナダ,2026-08-05 14:29:33,Sudbury Airport (YSB / CYSB),47.1,-81.8019
0d0914,3915,メキシコ,2026-08-05 14:29:33,Tallahassee International Airport (TLH / KTLH),30.7473,-84.9538
762af3,J-755,パキスタン,2026-08-05 14:29:33,Queen Alia International Airport (AMM / OJAI),31.5726,35.8427
