Hex,レジ番号,所属国,時刻,現在緯度,現在経度,出発予測緯度,出発予測経度,到着予測緯度,到着予測経度
48d982,0111,ポーランド,2026-07-29 22:52:45,51.3253,22.7653,51.6458,21.4594,51.3253,22.7653
e483ba,FAB2590,ブラジル,2026-07-29 22:52:45,-4.748,-39.8137,-4.1178,-38.9191,-4.748,-39.8137
800c01,K7066,インド,2026-07-29 22:52:45,22.492,84.3537,22.0741,83.8629,22.492,84.3537
c2c363,330002,カナダ,2026-07-29 22:53:51,49.1868,3.4251,50.0401,4.9762,49.1868,3.4251
600806,4K-AI06,アゼルバイジャン,2026-07-29 22:53:51,41.1047,17.3807,41.0817,19.3211,41.1047,17.3807
354556,T.22-2,スペイン,2026-07-29 22:53:51,39.5885,-1.4142,40.1772,-3.1825,39.5885,-1.4142
48d982,0111,ポーランド,2026-07-29 22:53:51,51.3356,22.8844,51.6458,21.4594,51.3356,22.8844
e483ba,FAB2590,ブラジル,2026-07-29 22:53:51,-4.8549,-39.8927,-4.1178,-38.9191,-4.8549,-39.8927
800c01,K7066,インド,2026-07-29 22:53:51,22.5291,84.3975,22.0741,83.8629,22.5291,84.3975
c2c363,330002,カナダ,2026-07-29 22:54:57,49.0792,3.2897,50.0401,4.9762,49.0792,3.2897
600806,4K-AI06,アゼルバイジャン,2026-07-29 22:54:57,41.1072,17.1791,41.0817,19.3211,41.1072,17.1791
354556,T.22-2,スペイン,2026-07-29 22:54:57,39.5258,-1.2333,40.1772,-3.1825,39.5258,-1.2333
48d982,0111,ポーランド,2026-07-29 22:54:57,51.2871,22.9404,51.6458,21.4594,51.2871,22.9404
e483ba,FAB2590,ブラジル,2026-07-29 22:54:57,-4.9606,-39.9707,-4.1178,-38.9191,-4.9606,-39.9707
800c01,K7066,インド,2026-07-29 22:54:57,22.5291,84.3975,22.0741,83.8629,22.5291,84.3975
c2c363,330002,カナダ,2026-07-29 22:56:04,48.9738,3.1722,50.0401,4.9762,48.9738,3.1722
600806,4K-AI06,アゼルバイジャン,2026-07-29 22:56:04,41.1095,16.9859,41.0817,19.3211,41.1095,16.9859
354556,T.22-2,スペイン,2026-07-29 22:56:04,39.4673,-1.0663,40.1772,-3.1825,39.4673,-1.0663
48d982,0111,ポーランド,2026-07-29 22:56:04,51.2633,22.8759,51.6458,21.4594,51.2633,22.8759
e483ba,FAB2590,ブラジル,2026-07-29 22:56:04,-5.0603,-40.0445,-4.1178,-38.9191,-5.0603,-40.0445
800c01,K7066,インド,2026-07-29 22:56:04,22.5291,84.3975,22.0741,83.8629,22.5291,84.3975
c2c363,330002,カナダ,2026-07-29 22:57:09,48.845,3.0733,50.0401,4.9762,48.845,3.0733
600806,4K-AI06,アゼルバイジャン,2026-07-29 22:57:09,41.1114,16.7799,41.0817,19.3211,41.1114,16.7799
354556,T.22-2,スペイン,2026-07-29 22:57:09,39.4025,-0.8825,40.1772,-3.1825,39.4025,-0.8825
48d982,0111,ポーランド,2026-07-29 22:57:09,51.2601,22.8527,51.6458,21.4594,51.2601,22.8527
e483ba,FAB2590,ブラジル,2026-07-29 22:57:09,-5.0861,-40.0636,-4.1178,-38.9191,-5.0861,-40.0636
